pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
sstat-095,node-6476-lobby,node-382-lobby,,1,0,71.3232000,71.3232000,,,,,Bottom of Elevator 6476 to Top of Escalator 382,,Not an entrance,
sstat-096,node-382-lobby,node-sstat-deweystair-lobby,,1,0,40.2336000,40.2336000,,,,,"Top of Escalator 382 to Bottom of stairs for Summer Street, Atlantic Avenue",,"Summer Street, Atlantic Avenue",
sstat-097,node-382-lobby,node-949-lobby,,1,0,44.5008000,44.5008000,,,,,Top of Escalator 382 to Bottom of Elevator 949,,"Summer Street, Atlantic Avenue",
sstat-098,node-382-lobby,node-424-lobby,,1,0,40.2336000,40.2336000,,,,,Top of Escalator 382 to Bottom of Escalator 424,,"Summer Street, Atlantic Avenue",
sstat-099,node-382-lobby,node-sstat-reservestair-lobby,,1,0,24.3840000,24.3840000,,,,,"Top of Escalator 382 to Bottom of stairs for Atlantic Avenue, Summer Street",,"Atlantic Avenue, Summer Street",
sstat-100,node-382-lobby,node-sstat-outmainstair-lobby,,1,0,38.4048000,38.4048000,,,,,"Top of Escalator 382 to Bottom of stairs for Summer Street, Atlantic Avenue, Amtrak, Commuter Rail",,"Summer Street, Atlantic Avenue, Amtrak, Commuter Rail",
sstat-101,node-382-lobby,node-926-lobby,,1,0,56.9976000,56.9976000,,,,,Top of Escalator 382 to Bottom of Elevator 926,,"Bus Terminal, Summer Street, Atlantic Avenue, Commuter Rail, Amtrak",
sstat-102,node-382-lobby,node-sstat-finctrstair-lobby,,1,0,76.5048000,76.5048000,,,,,"Top of Escalator 382 to Bottom of stairs for Summer Street, Atlantic Avenue, Financial Center",,"Summer Street, Atlantic Avenue, Financial Center",
sstat-103,node-382-lobby,node-387-lobby,,1,0,76.5048000,76.5048000,,,,,Top of Escalator 382 to Bottom of Escalator 387,,"Summer Street, Atlantic Avenue, Financial Center",
sstat-104,node-382-lobby,node-386-lobby,,1,0,76.5048000,76.5048000,,,,,Top of Escalator 382 to Bottom of Escalator 386,,"Summer Street, Atlantic Avenue, Financial Center",
sstat-105,node-382-lobby,node-sstat-bldgstair-lobby,,1,0,58.2168000,58.2168000,,,,,Top of Escalator 382 to Bottom of stairs for Commuter Rail concourse,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-106,node-382-lobby,node-sstat-bldgescup-lobby,,1,0,58.2168000,58.2168000,,,,,Top of Escalator 382 to Bottom of escalators for Commuter Rail concourse,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-107,node-382-lobby,node-sstat-bldgescdown-lobby,,1,0,58.2168000,58.2168000,,,,,Top of Escalator 382 to Bottom of escalators from Commuter Rail concourse,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-108,node-382-lobby,node-6476-lobby,,1,0,71.3232000,71.3232000,,,,,Top of Escalator 382 to Bottom of Elevator 6476,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-109,node-sstat-deweystair-lobby,node-sstat-382stair-lobby,,1,0,40.2336000,40.2336000,,,,,"Bottom of stairs for Summer Street, Atlantic Avenue to Top of stairs for exit from Red Line",,Not an entrance,
sstat-110,node-949-lobby,node-sstat-382stair-lobby,,1,0,44.5008000,44.5008000,,,,,Bottom of Elevator 949 to Top of stairs for exit from Red Line,,Not an entrance,
sstat-111,node-424-lobby,node-sstat-382stair-lobby,,1,0,40.2336000,40.2336000,,,,,Bottom of Escalator 424 to Top of stairs for exit from Red Line,,Not an entrance,
sstat-112,node-sstat-reservestair-lobby,node-sstat-382stair-lobby,,1,0,24.3840000,24.3840000,,,,,"Bottom of stairs for Atlantic Avenue, Summer Street to Top of stairs for exit from Red Line",,Not an entrance,
